School Year,School ID,School Name,Test,# Students,Average Composite Score,Average EBRW Score,Average Math Score,% Meeting College Readiness Benchmark,% Partially Met State EBRW Standards,% Approached State EBRW Standards,% Met State EBRW Standards,% Exceeded State EBRW Standards,% Met or Exceeded State EBRW Standards,% Partially Met State Math Standards,% Approached State Math Standards,% Met State Math Standards,% Exceeded State Math Standards,% Met or Exceeded State Math Standards
2016-2017,400056,NOBLE - ROWE CLARK HS,SAT,115,937,481,456,33,21.7,53,23.5,1.7,25.2,43.5,42.6,12.2,1.7,13.9
2016-2017,400056,NOBLE - ROWE CLARK HS,Combined,346, , , ,26.6, , , , , , , , , , 
2016-2017,400057,NOBLE - UIC HS,PSAT 9,257,870,427,443,51.8, , , , , , , , , , 
2016-2017,400057,NOBLE - UIC HS,PSAT 10,214,933,471,461,57, , , , , , , , , , 
2016-2017,400057,NOBLE - UIC HS,SAT,218,1073,541,533,71.6,4.6,38.5,51.4,5.5,56.9,12.4,38.5,43.6,5.5,49.1
2016-2017,400057,NOBLE - UIC HS,Combined,689, , , ,59.7, , , , , , , , , , 
2016-2017,400058,NORTH LAWNDALE - CHRISTIANA HS,PSAT 9,83,754,368,386,9.6, , , , , , , , , , 
2016-2017,400058,NORTH LAWNDALE - CHRISTIANA HS,PSAT 10,86,779,384,394,3.5, , , , , , , , , , 
2016-2017,400058,NORTH LAWNDALE - CHRISTIANA HS,SAT,76,813,403,410,3.9,72.4,26.3,1.3,0,1.3,67.1,31.6,1.3,0,1.3
2016-2017,400058,NORTH LAWNDALE - CHRISTIANA HS,Combined,245, , , ,5.7, , , , , , , , , , 
2016-2017,400059,NORTH LAWNDALE - COLLINS HS,PSAT 9,82,716,351,365,7.3, , , , , , , , , , 
2016-2017,400059,NORTH LAWNDALE - COLLINS HS,PSAT 10,96,798,397,401,10.4, , , , , , , , , , 
2016-2017,400059,NORTH LAWNDALE - COLLINS HS,SAT,75,837,418,420,2.7,53.3,46.7,0,0,0,65.3,32,2.7,0,2.7
2016-2017,400059,NORTH LAWNDALE - COLLINS HS,Combined,253, , , ,7.1, , , , , , , , , , 
2016-2017,400061,PERSPECTIVES - LEADERSHIP HS,PSAT 9,57,741,358,384,17.5, , , , , , , , , , 
2016-2017,400061,PERSPECTIVES - LEADERSHIP HS,PSAT 10,101,798,400,398,13.9, , , , , , , , , , 
2016-2017,400061,PERSPECTIVES - LEADERSHIP HS,SAT,98,879,451,428,17.3,33.7,56.1,9.2,1,10.2,58.2,34.7,6.1,1,7.1
2016-2017,400061,PERSPECTIVES - LEADERSHIP HS,Combined,256, , , ,16, , , , , , , , , , 
2016-2017,400062,PERSPECTIVES - TECH HS,PSAT 9,79,751,370,381,10.1, , , , , , , , , , 
2016-2017,400062,PERSPECTIVES - TECH HS,PSAT 10,100,811,404,407,11, , , , , , , , , , 
2016-2017,400062,PERSPECTIVES - TECH HS,SAT,84,862,443,419,13.1,42.9,46.4,10.7,0,10.7,66.7,27.4,6,0,6
2016-2017,400062,PERSPECTIVES - TECH HS,Combined,263, , , ,11.4, , , , , , , , , , 
2016-2017,400064,PERSPECTIVES - JOSLIN HS,PSAT 9,55,754,381,373,12.7, , , , , , , , , , 
2016-2017,400064,PERSPECTIVES - JOSLIN HS,PSAT 10,61,859,443,417,29.5, , , , , , , , , , 
2016-2017,400064,PERSPECTIVES - JOSLIN HS,SAT,56,878,458,421,16.1,41.1,42.9,12.5,3.6,16.1,71.4,25,3.6,0,3.6
2016-2017,400064,PERSPECTIVES - JOSLIN HS,Combined,172, , , ,19.8, , , , , , , , , , 
2016-2017,400066,PERSPECTIVES - MATH & SCI HS,PSAT 9,88,755,376,379,14.8, , , , , , , , , , 
2016-2017,400066,PERSPECTIVES - MATH & SCI HS,PSAT 10,105,832,424,409,27.6, , , , , , , , , , 
2016-2017,400066,PERSPECTIVES - MATH & SCI HS,SAT,64,851,436,415,10.9,50,40.6,7.8,1.6,9.4,71.9,21.9,6.3,0,6.3
2016-2017,400066,PERSPECTIVES - MATH & SCI HS,Combined,257, , , ,19.1, , , , , , , , , , 
2016-2017,400077,U OF C - WOODLAWN HS,PSAT 9,105,754,364,390,11.4, , , , , , , , , , 
2016-2017,400077,U OF C - WOODLAWN HS,PSAT 10,113,850,424,426,29.2, , , , , , , , , , 
2016-2017,400077,U OF C - WOODLAWN HS,SAT,82,903,461,442,19.5,32.9,54.9,9.8,2.4,12.2,51.2,40.2,8.5,0,8.5
2016-2017,400077,U OF C - WOODLAWN HS,Combined,300, , , ,20.3, , , , , , , , , , 
2016-2017,400085,ACERO - GARCIA HS,PSAT 9,146,821,406,414,34.2, , , , , , , , , , 
2016-2017,400085,ACERO - GARCIA HS,PSAT 10,169,878,446,431,36.7, , , , , , , , , , 
2016-2017,400085,ACERO - GARCIA HS,SAT,156,913,468,445,21.8,31.4,50,18.6,0,18.6,53.8,34.6,11.5,0,11.5
2016-2017,400085,ACERO - GARCIA HS,Combined,471, , , ,31, , , , , , , , , , 
2016-2017,400086,URBAN PREP - ENGLEWOOD HS,PSAT 9,60,739,368,371,15, , , , , , , , , , 
2016-2017,400086,URBAN PREP - ENGLEWOOD HS,PSAT 10,65,828,416,412,29.2, , , , , , , , , , 
2016-2017,400086,URBAN PREP - ENGLEWOOD HS,SAT,82,856,444,412,9.8,40.2,52.4,7.3,0,7.3,65.9,28,6.1,0,6.1
2016-2017,400086,URBAN PREP - ENGLEWOOD HS,Combined,207, , , ,17.4, , , , , , , , , , 
2016-2017,400087,YOUNG WOMENS HS,PSAT 9,43,755,382,373,14, , , , , , , , , , 
2016-2017,400087,YOUNG WOMENS HS,PSAT 10,77,806,405,401,10.4, , , , , , , , , , 
2016-2017,400087,YOUNG WOMENS HS,SAT,43,865,447,419,16.3,41.9,48.8,9.3,0,9.3,62.8,30.2,7,0,7
2016-2017,400087,YOUNG WOMENS HS,Combined,163, , , ,12.9, , , , , , , , , , 
2016-2017,400091,CHICAGO TECH HS,PSAT 9,59,764,364,400,15.3, , , , , , , , , , 
2016-2017,400091,CHICAGO TECH HS,PSAT 10,54,788,393,395,14.8, , , , , , , , , , 
2016-2017,400091,CHICAGO TECH HS,SAT,65,875,438,437,20,50.8,40,9.2,0,9.2,56.9,33.8,9.2,0,9.2
2016-2017,400091,CHICAGO TECH HS,Combined,178, , , ,16.9, , , , , , , , , , 
2016-2017,400094,EPIC HS,PSAT 9,173,797,392,405,29.5, , , , , , , , , , 
2016-2017,400094,EPIC HS,PSAT 10,143,851,446,405,32.2, , , , , , , , , , 
2016-2017,400094,EPIC HS,SAT,80,938,479,458,23.8,23.8,56.3,17.5,2.5,20,46.3,37.5,16.3,0,16.3
