School Year,School ID,School Name,Test,# Students,Average Composite Score,Average EBRW Score,Average Math Score,% Meeting College Readiness Benchmark,% Partially Met State EBRW Standards,% Approached State EBRW Standards,% Met State EBRW Standards,% Exceeded State EBRW Standards,% Met or Exceeded State EBRW Standards,% Partially Met State Math Standards,% Approached State Math Standards,% Met State Math Standards,% Exceeded State Math Standards,% Met or Exceeded State Math Standards
2016-2017,609749,NORTHSIDE PREP HS,SAT,238,1329,671,658,99.2,0,2.1,23.5,74.4,97.9,0.4,5,47.1,47.5,94.5
2016-2017,609749,NORTHSIDE PREP HS,Combined,791, , , ,99.1, , , , , , , , , , 
2016-2017,609750,SIMPSON HS,PSAT 9,4, , , , , , , , , , , , , , 
2016-2017,609750,SIMPSON HS,PSAT 10,12,758,372,386,0, , , , , , , , , , 
2016-2017,609750,SIMPSON HS,SAT,7, , , , , , , , , , , , , , 
2016-2017,609750,SIMPSON HS,Combined,23, , , ,17.4, , , , , , , , , , 
2016-2017,609751,KING HS,PSAT 9,133,902,445,457,70.7, , , , , , , , , , 
2016-2017,609751,KING HS,PSAT 10,141,969,494,475,73.8, , , , , , , , , , 
2016-2017,609751,KING HS,SAT,156,1051,538,514,61.5,2.6,48.1,42.3,7.1,49.4,9,60.3,30.1,0.6,30.8
2016-2017,609751,KING HS,Combined,430, , , ,68.4, , , , , , , , , , 
2016-2017,609753,CHICAGO AGRICULTURE HS,PSAT 9,153,901,445,456,58.8, , , , , , , , , , 
2016-2017,609753,CHICAGO AGRICULTURE HS,PSAT 10,161,947,485,462,60.2, , , , , , , , , , 
2016-2017,609753,CHICAGO AGRICULTURE HS,SAT,152,1028,530,498,57.2,7.9,42.8,41.4,7.9,49.3,23,43.4,32.2,1.3,33.6
2016-2017,609753,CHICAGO AGRICULTURE HS,Combined,466, , , ,58.8, , , , , , , , , , 
2016-2017,609754,CHICAGO MILITARY HS,PSAT 9,94,817,388,429,27.7, , , , , , , , , , 
2016-2017,609754,CHICAGO MILITARY HS,PSAT 10,47,810,399,412,14.9, , , , , , , , , , 
2016-2017,609754,CHICAGO MILITARY HS,SAT,83,911,472,439,18.1,20.5,62.7,15.7,1.2,16.9,55.4,39.8,4.8,0,4.8
2016-2017,609754,CHICAGO MILITARY HS,Combined,224, , , ,21.4, , , , , , , , , , 
2016-2017,609755,YOUNG HS,PSAT 9,459,1132,560,572,98, , , , , , , , , , 
2016-2017,609755,YOUNG HS,PSAT 10,425,1188,598,590,97.4, , , , , , , , , , 
2016-2017,609755,YOUNG HS,SAT,424,1290,643,647,96.9,1.4,5.4,35.4,57.8,93.2,2.1,6.4,50.2,41.3,91.5
2016-2017,609755,YOUNG HS,Combined,1308, , , ,97.5, , , , , , , , , , 
2016-2017,609756,CURIE HS,PSAT 9,687,805,394,412,31.6, , , , , , , , , , 
2016-2017,609756,CURIE HS,PSAT 10,671,849,420,428,29.8, , , , , , , , , , 
2016-2017,609756,CURIE HS,SAT,773,914,458,456,25.2,37.5,47.2,14.1,1.2,15.3,48.9,34.5,15.1,1.4,16.6
2016-2017,609756,CURIE HS,Combined,2131, , , ,28.7, , , , , , , , , , 
2016-2017,609759,CLEMENTE HS,PSAT 9,169,766,382,384,24.9, , , , , , , , , , 
2016-2017,609759,CLEMENTE HS,PSAT 10,191,801,401,399,21.5, , , , , , , , , , 
2016-2017,609759,CLEMENTE HS,SAT,192,865,443,422,11.5,43.8,50,4.7,1.6,6.3,68.8,26.6,4.2,0.5,4.7
2016-2017,609759,CLEMENTE HS,Combined,552, , , ,19, , , , , , , , , , 
2016-2017,609760,CARVER MILITARY HS,PSAT 9,147,841,409,432,44.9, , , , , , , , , , 
2016-2017,609760,CARVER MILITARY HS,PSAT 10,114,864,432,432,27.2, , , , , , , , , , 
2016-2017,609760,CARVER MILITARY HS,SAT,115,949,480,469,26.1,18.3,63.5,17.4,0.9,18.3,36.5,47.8,15.7,0,15.7
2016-2017,609760,CARVER MILITARY HS,Combined,376, , , ,33.8, , , , , , , , , , 
2016-2017,609761,CORLISS HS,PSAT 9,43,713,347,367,0, , , , , , , , , , 
2016-2017,609761,CORLISS HS,PSAT 10,82,790,395,395,15.9, , , , , , , , , , 
2016-2017,609761,CORLISS HS,SAT,88,799,408,391,6.8,67,31.8,1.1,0,1.1,83,14.8,2.3,0,2.3
2016-2017,609761,CORLISS HS,Combined,213, , , ,8.9, , , , , , , , , , 
2016-2017,609762,JULIAN HS,PSAT 9,122,717,358,359,6.6, , , , , , , , , , 
2016-2017,609762,JULIAN HS,PSAT 10,151,766,385,381,10.6, , , , , , , , , , 
2016-2017,609762,JULIAN HS,SAT,113,823,426,397,5.3,57.5,37.2,5.3,0,5.3,73.5,24.8,1.8,0,1.8
2016-2017,609762,JULIAN HS,Combined,386, , , ,7.8, , , , , , , , , , 
2016-2017,609764,JUAREZ HS,PSAT 9,338,811,399,412,35.2, , , , , , , , , , 
2016-2017,609764,JUAREZ HS,PSAT 10,322,826,411,415,22.7, , , , , , , , , , 
2016-2017,609764,JUAREZ HS,SAT,362,885,447,438,19.6,41.7,45.6,11.6,1.1,12.7,50.6,42,7.5,0,7.5
2016-2017,609764,JUAREZ HS,Combined,1022, , , ,25.7, , , , , , , , , , 
2016-2017,609768,HOPE HS,PSAT 9,19,712,343,369,5.3, , , , , , , , , , 
2016-2017,609768,HOPE HS,PSAT 10,21,775,383,391,9.5, , , , , , , , , , 
2016-2017,609768,HOPE HS,SAT,24,790,397,393,0,75,25,0,0,0,75,25,0,0,0
2016-2017,609768,HOPE HS,Combined,64, , , ,4.7, , , , , , , , , , 
2016-2017,609780,MARINE LEADERSHIP AT AMES HS,PSAT 9,168,804,395,410,30.4, , , , , , , , , , 
2016-2017,609780,MARINE LEADERSHIP AT AMES HS,PSAT 10,182,846,419,427,26.4, , , , , , , , , , 
2016-2017,609780,MARINE LEADERSHIP AT AMES HS,SAT,108,942,460,481,27.8,31.5,55.6,12,0.9,13,27.8,55.6,16.7,0,16.7
2016-2017,609780,MARINE LEADERSHIP AT AMES HS,Combined,458, , , ,28.2, , , , , , , , , , 
2016-2017,610244,CLARK HS,PSAT 9,148,749,374,375,12.8, , , , , , , , , , 
2016-2017,610244,CLARK HS,PSAT 10,120,814,407,407,27.5, , , , , , , , , , 
2016-2017,610244,CLARK HS,SAT,108,859,444,416,5.6,38.9,56.5,4.6,0,4.6,67.6,31.5,0.9,0,0.9
2016-2017,610244,CLARK HS,Combined,376, , , ,15.4, , , , , , , , , , 
2016-2017,610245,DOUGLASS HS,PSAT 9,25,698,338,360,8, , , , , , , , , , 
2016-2017,610245,DOUGLASS HS,PSAT 10,33,737,359,378,0, , , , , , , , , , 
2016-2017,610245,DOUGLASS HS,SAT,41,751,381,370,2.4,92.7,4.9,0,2.4,2.4,90.2,7.3,2.4,0,2.4
2016-2017,610245,DOUGLASS HS,Combined,99, , , ,3, , , , , , , , , , 
2016-2017,610304,PHOENIX MILITARY HS,PSAT 9,150,872,419,453,54.7, , , , , , , , , , 
2016-2017,610304,PHOENIX MILITARY HS,PSAT 10,136,915,461,454,53.7, , , , , , , , , , 
2016-2017,610304,PHOENIX MILITARY HS,SAT,107,1055,541,514,65.4,1.9,45.8,43,9.3,52.3,16.8,46.7,35.5,0.9,36.4
2016-2017,610304,PHOENIX MILITARY HS,Combined,393, , , ,57.3, , , , , , , , , , 
2016-2017,610323,BOWEN HS,PSAT 9,58,739,360,377,8.6, , , , , , , , , , 
2016-2017,610323,BOWEN HS,PSAT 10,82,779,383,395,11, , , , , , , , , , 
2016-2017,610323,BOWEN HS,SAT,66,804,407,397,3,68.2,31.8,0,0,0,75.8,24.2,0,0,0
2016-2017,610323,BOWEN HS,Combined,206, , , ,7.8, , , , , , , , , , 
2016-2017,610334,RABY HS,PSAT 9,87,727,351,376,3.4, , , , , , , , , , 
2016-2017,610334,RABY HS,PSAT 10,88,768,378,390,9.1, , , , , , , , , , 
2016-2017,610334,RABY HS,SAT,80,796,404,391,2.5,72.5,26.3,1.3,0,1.3,83.8,15,1.3,0,1.3
2016-2017,610334,RABY HS,Combined,255, , , ,5.1, , , , , , , , , , 
2016-2017,610340,CHICAGO ACADEMY HS,PSAT 9,137,825,411,412,39.4, , , , , , , , , , 
2016-2017,610340,CHICAGO ACADEMY HS,PSAT 10,134,868,432,434,35.8, , , , , , , , , , 
2016-2017,610340,CHICAGO ACADEMY HS,SAT,132,949,474,475,34.8,30.3,46.2,22.7,0.8,23.5,32.6,44.7,22,0.8,22.7
2016-2017,610340,CHICAGO ACADEMY HS,Combined,403, , , ,36.7, , , , , , , , , , 
2016-2017,610357,SPRY HS,PSAT 9,35,775,387,387,31.4, , , , , , , , , , 
2016-2017,610357,SPRY HS,PSAT 10,38,803,394,409,10.5, , , , , , , , , , 
2016-2017,610357,SPRY HS,SAT,53,907,448,459,24.5,34,58.5,7.5,0,7.5,43.4,39.6,17,0,17
2016-2017,610357,SPRY HS,Combined,126, , , ,22.2, , , , , , , , , , 
2016-2017,610380,WILLIAMS HS,PSAT 9,48,771,380,391,14.6, , , , , , , , , , 
2016-2017,610380,WILLIAMS HS,PSAT 10,63,822,421,400,14.3, , , , , , , , , , 
2016-2017,610380,WILLIAMS HS,SAT,67,868,445,423,10.4,38.8,55.2,6,0,6,64.2,34.3,1.5,0,1.5
2016-2017,610380,WILLIAMS HS,Combined,178, , , ,12.9, , , , , , , , , , 
2016-2017,610381,BRONZEVILLE HS,PSAT 9,51,750,356,395,7.8, , , , , , , , , , 
2016-2017,610381,BRONZEVILLE HS,PSAT 10,97,767,373,394,7.2, , , , , , , , , , 
2016-2017,610381,BRONZEVILLE HS,SAT,94,848,426,422,4.3,51.1,45.7,3.2,0,3.2,62.8,36.2,1.1,0,1.1
2016-2017,610381,BRONZEVILLE HS,Combined,242, , , ,6.2, , , , , , , , , , 
2016-2017,610383,SOCIAL JUSTICE HS,PSAT 9,50,800,393,407,30, , , , , , , , , , 
2016-2017,610383,SOCIAL JUSTICE HS,PSAT 10,82,830,420,411,23.2, , , , , , , , , , 
2016-2017,610383,SOCIAL JUSTICE HS,SAT,59,840,417,423,10.2,54.2,40.7,5.1,0,5.1,69.5,25.4,5.1,0,5.1
2016-2017,610383,SOCIAL JUSTICE HS,Combined,191, , , ,20.9, , , , , , , , , , 
2016-2017,610384,INFINITY HS,PSAT 9,100,842,402,440,41, , , , , , , , , , 
2016-2017,610384,INFINITY HS,PSAT 10,115,884,432,452,40.9, , , , , , , , , , 
2016-2017,610384,INFINITY HS,SAT,102,947,460,487,33.3,35.3,47.1,17.6,0,17.6,30.4,45.1,24.5,0,24.5
2016-2017,610384,INFINITY HS,Combined,317, , , ,38.5, , , , , , , , , , 
