Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
Network 4,610074,James Monroe Elementary School, 899 ,26,55,68,93,89,103,102,81,88,106,88,,,,
Network 4,609942,Johann W von Goethe Elementary School, 790 ,48,66,72,91,71,73,94,59,87,74,55,,,,
Network 4,609789,John Barry Elementary School, 726 ,40,68,81,73,85,109,83,90,97,,,,,,
Network 4,609782,John J Audubon Elementary School, 560 ,29,24,81,57,69,27,62,57,52,51,51,,,,
Network 4,609716,Kelvyn Park High School, 533 ,,,,,,,,,,67,65,75,89,116,121
Network 4,610033,LaSalle Elementary Language Academy, 563 ,,,60,64,63,68,63,63,63,63,56,,,,
Network 4,610325,Logandale Middle School, 777 ,25,42,75,71,88,87,77,86,87,79,60,,,,
Network 4,609809,Lorenz Brentano Math & Science Academy ES, 475 ,27,46,68,54,43,47,36,41,45,25,43,,,,
Network 4,610094,Louis Nettelhorst Elementary School, 822 ,29,44,109,105,94,95,78,75,59,68,66,,,,
Network 4,609774,Louisa May Alcott College Preparatory ES, 640 ,20,41,90,78,83,54,52,58,54,52,58,,,,
Network 4,610524,Louisa May Alcott College Preparatory HS, 331 ,,,,,,,,,,,,101,93,70,67
Network 4,610059,Oscar F Mayer Elementary School, 730 ,58,65,86,78,61,80,66,58,59,74,45,,,,
Network 4,609853,Salmon P Chase Elementary School, 458 ,26,43,33,39,37,39,48,47,44,49,53,,,,
Network 4,609968,Sharon Christa McAuliffe Elementary School, 764 ,13,49,76,79,64,65,89,82,85,90,72,,,,
Network 4,610095,Walter L Newberry Math & Science Academy ES, 574 ,5,12,54,58,55,58,61,63,64,90,54,,,,
Network 4,610136,William H Prescott Elementary School, 375 ,16,20,33,58,56,62,50,24,28,16,12,,,,
Network 4,610097,William P Nixon Elementary School, 883 ,18,50,89,98,110,132,134,130,122,,,,,,
Network 4,610088,Wolfgang A Mozart Elementary School, 710 ,12,26,54,68,62,79,90,82,75,88,74,,,,
Network 5,610334,Al Raby High School, 416 ,,,,,,,,,,,,114,109,95,98
Network 5,610342,Albert R Sabin Elementary Magnet School, 602 ,,,48,67,62,70,69,69,73,67,77,,,,
Network 5,610131,Ambrose Plamondon Elementary School, 144 ,,,20,21,15,17,17,20,13,13,8,,,,
Network 5,610005,Charles Evans Hughes Elementary School, 275 ,21,28,24,34,37,33,22,29,13,20,14,,,,
Network 5,610194,Charles Sumner  Math & Science Community Acad ES, 267 ,2,17,23,19,22,36,31,30,28,31,28,,,,
Network 5,609863,Christopher Columbus Elementary School, 294 ,9,20,25,28,26,30,31,34,31,31,29,,,,
Network 5,609873,Crown Community Academy of Fine Arts Center ES, 305 ,16,21,28,27,33,39,27,23,31,29,31,,,,
