School ID,School Name,Network,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
609722,Manley Career Academy High School,Network 5,114,0,0,0,0,0,0,0,0,0,0,0,17,31,33,33
610055,Michael Faraday Elementary School,Network 5,287,16,24,27,30,29,29,27,32,22,24,27,0,0,0,0
609691,North-Grand High School,Network 5,958,0,0,0,0,0,0,0,0,0,0,0,237,237,261,223
610234,Richard Yates Elementary School,Network 5,442,10,28,44,39,41,56,55,50,32,39,48,0,0,0,0
609759,Roberto Clemente Community Academy High School,Network 5,754,0,0,0,0,0,0,0,0,0,0,0,202,177,193,182
610056,Roswell B Mason Elementary School,Network 5,384,18,33,37,33,32,42,45,45,32,27,40,0,0,0,0
610100,West Park Elementary Academy,Network 5,591,6,34,59,49,67,70,62,64,59,62,59,0,0,0,0
610251,Willa Cather Elementary School,Network 5,380,14,23,46,33,38,35,41,37,35,48,30,0,0,0,0
610123,William Penn Elementary School,Network 5,316,13,32,26,33,26,28,27,35,27,38,31,0,0,0,0
610229,A.N. Pritzker School,Network 6,743,14,16,68,73,70,79,80,85,85,98,75,0,0,0,0
610513,Air Force Academy High School,Network 6,262,0,0,0,0,0,0,0,0,0,0,0,33,74,77,78
609947,Alexander Graham Elementary School,Network 6,415,11,27,30,37,42,46,35,53,51,39,44,0,0,0,0
610060,Andrew Jackson Elementary Language Academy,Network 6,550,0,0,60,60,64,64,64,64,63,50,61,0,0,0,0
609996,Charles N Holden Elementary School,Network 6,504,21,18,53,38,56,49,57,47,61,52,52,0,0,0,0
609754,Chicago Military Academy High School,Network 6,310,0,0,0,0,0,0,0,0,0,0,0,98,90,47,75
610012,Edward Jenner Elementary Academy of the Arts,Network 6,250,3,17,29,19,17,36,23,29,28,21,28,0,0,0,0
610009,Galileo Math & Science Scholastic Academy ES,Network 6,573,0,0,69,75,75,68,62,58,57,52,57,0,0,0,0
609760,George Washington Carver Military Academy HS,Network 6,479,0,0,0,0,0,0,0,0,0,0,0,119,142,106,112
610107,James Otis Elementary School,Network 6,453,14,31,36,37,49,33,42,53,50,55,53,0,0,0,0
609959,John Charles Haines Elementary School,Network 6,686,11,22,46,66,72,85,71,76,78,80,79,0,0,0,0
610180,John M Smyth Elementary School,Network 6,463,34,52,45,45,44,50,47,48,41,27,30,0,0,0,0
609828,Jonathan Burr Elementary School,Network 6,434,11,41,52,52,56,54,51,35,33,25,24,0,0,0,0
610081,Mark Sheridan Math & Science Academy,Network 6,560,0,0,60,64,64,64,66,64,64,59,55,0,0,0,0
610529,Ogden International High School,Network 6,884,0,0,0,0,0,0,0,0,121,113,121,222,137,80,90
609777,Phillip D Armour Elementary School,Network 6,279,13,27,25,34,26,31,27,29,25,21,21,0,0,0,0
610304,Phoenix Military Academy High School,Network 6,531,0,0,0,0,0,0,0,0,0,0,0,154,142,127,108
610138,Pulaski International School of Chicago,Network 6,928,26,51,101,105,100,83,99,104,85,88,86,0,0,0,0
609769,Ray Graham Training Center High School,Network 6,117,0,0,0,0,0,0,0,0,0,0,0,0,1,5,111
610561,Richard T Crane Medical Preparatory HS,Network 6,487,0,0,0,0,0,0,0,0,0,0,0,77,139,139,132
609979,Robert Healy Elementary School,Network 6,1413,0,19,139,134,180,172,169,160,163,139,138,0,0,0,0
610252,Robert Nathaniel Dett Elementary School,Network 6,312,13,31,33,26,19,45,28,27,31,24,35,0,0,0,0
610029,Rodolfo Lozano Bilingual & International Ctr ES,Network 6,203,4,16,9,21,15,29,16,19,21,24,29,0,0,0,0
610250,Rueben Salazar Elementary Bilingual Center,Network 6,345,3,14,30,33,37,37,35,47,36,33,40,0,0,0,0
610548,STEM Magnet Academy,Network 6,434,0,0,52,56,56,56,52,58,48,28,28,0,0,0,0
609750,Simpson Academy HS for Young Women,Network 6,41,0,0,0,0,0,0,0,0,0,1,2,10,7,12,9
610405,Suder Montessori Magnet ES,Network 6,413,37,42,38,41,55,43,37,42,26,29,23,0,0,0,0
609896,Thomas Drummond Elementary School,Network 6,349,35,36,39,42,35,33,32,31,26,15,25,0,0,0,0
610121,Washington Irving Elementary School,Network 6,443,16,12,41,35,51,46,52,45,49,48,48,0,0,0,0
609740,Wells Community Academy High School,Network 6,381,0,0,0,0,0,0,0,0,0,0,0,123,99,59,100
610101,William B Ogden Elementary School,Network 6,806,0,0,137,129,146,133,141,120,0,0,0,0,0,0,0
609812,William H Brown Elementary School,Network 6,252,15,21,10,21,29,23,20,23,32,33,25,0,0,0,0
610308,Wilma Rudolph Elementary Learning Center,Network 6,92,8,19,8,8,14,5,19,11,0,0,0,0,0,0,0
609966,Charles G Hammond Elementary School,Network 7,438,22,30,40,43,35,44,44,53,47,42,38,0,0,0,0
610063,Cyrus H McCormick Elementary School,Network 7,712,31,46,87,118,91,112,108,119,0,0,0,0,0,0,0
609870,Daniel J Corkery Elementary School,Network 7,525,9,31,60,51,46,58,58,56,43,54,59,0,0,0,0
609704,David G Farragut Career Academy High School,Network 7,728,6,9,0,0,0,0,0,0,0,0,0,148,192,195,178
610227,Eli Whitney Elementary School,Network 7,986,21,42,86,73,116,93,120,112,116,95,112,0,0,0,0
610215,Francisco I Madero Middle School,Network 7,334,0,0,0,0,0,0,0,0,118,99,117,0,0,0,0
609920,Gerald Delgado Kanoon Elementary Magnet School,Network 7,628,5,15,59,54,63,82,66,66,58,77,83,0,0,0,0
610383,Greater Lawndale High School For Social Justice,Network 7,286,0,0,0,0,0,0,0,0,0,0,0,62,68,100,56
610384,Infinity Math Science and Technology High School,Network 7,418,0,0,0,0,0,0,0,0,0,0,0,107,97,116,98
610125,Irma C Ruiz Elementary School,Network 7,694,10,32,55,67,64,82,75,77,97,68,67,0,0,0,0
610216,John A Walsh Elementary School,Network 7,349,14,25,32,29,26,39,33,39,33,36,43,0,0,0,0
610228,John Greenleaf Whittier Elementary School,Network 7,231,5,11,18,17,25,26,21,27,34,30,17,0,0,0,0
610184,John Spry Elementary Community School,Network 7,538,13,22,46,67,37,60,49,66,61,63,54,0,0,0,0
609950,Josefa Ortiz De Dominguez Elementary School,Network 7,535,32,65,124,159,155,0,0,0,0,0,0,0,0,0,0
609938,Joseph E Gary Elementary School,Network 7,1114,20,42,0,0,0,168,178,190,170,194,152,0,0,0,0
610015,Joseph Jungman Elementary School,Network 7,286,18,14,30,28,21,26,24,40,27,32,26,0,0,0,0
610129,Josiah Pickard Elementary School,Network 7,444,2,29,30,47,32,46,50,52,50,56,50,0,0,0,0
609872,Manuel Perez Elementary School,Network 7,297,13,24,24,29,27,34,24,31,23,37,31,0,0,0,0
610017,Maria Saucedo Elementary Scholastic Academy,Network 7,1007,20,45,89,99,94,102,112,119,117,105,105,0,0,0,0
610385,Multicultural Academy of Scholarship,Network 7,230,0,0,0,0,0,0,0,0,0,0,0,49,55,72,54
610329,Orozco Fine Arts & Sciences Elementary School,Network 7,540,10,21,24,29,31,30,30,31,113,105,116,0,0,0,0
609867,Peter Cooper Elementary Dual Language Academy,Network 7,459,17,30,60,61,68,64,78,81,0,0,0,0,0,0,0
610013,Pilsen Elementary Community Academy,Network 7,331,11,24,27,36,31,26,30,36,42,35,33,0,0,0,0
610357,Spry Community Links High School,Network 7,129,0,0,0,0,0,0,0,0,0,0,0,37,35,40,17
609921,Telpochcalli Elementary School,Network 7,282,4,16,20,38,23,30,37,26,32,25,31,0,0,0,0
609967,William F Finkl Elementary School,Network 7,359,17,28,38,24,43,39,33,29,42,28,38,0,0,0,0
610392,World Language Academy High School,Network 7,352,0,0,0,0,0,0,0,0,0,0,0,95,109,81,67
609993,Agustin Lara Elementary Academy,Network 8,441,15,38,43,30,41,41,50,48,42,46,47,0,0,0,0
610317,Brighton Park Elementary School,Network 8,453,9,22,30,40,45,45,53,48,44,47,70,0,0,0,0
610353,Calmeca Academy of Fine Arts and Dual Language,Network 8,807,17,43,73,74,92,80,92,85,80,89,82,0,0,0,0
610170,Columbia Explorers Elementary Academy,Network 8,1064,28,65,63,90,110,96,130,122,136,114,110,0,0,0,0
609909,Edward Everett Elementary School,Network 8,200,17,27,33,22,26,21,28,26,0,0,0,0,0,0,0
609735,Edward Tilden Career Community Academy HS,Network 8,250,0,0,0,0,0,0,0,0,0,0,0,57,63,60,70
609682,Ellen H Richards Career Academy High School,Network 8,217,0,0,0,0,0,0,0,0,0,0,0,59,51,56,51
610319,Evergreen Academy Middle School,Network 8,315,0,0,0,0,0,0,0,0,109,106,100,0,0,0,0
610096,Florence Nightingale Elementary School,Network 8,1254,40,84,116,107,126,128,146,129,137,121,120,0,0,0,0
609709,Gage Park High School,Network 8,328,0,0,0,0,0,0,0,0,0,0,0,91,86,69,82
610532,Irene C. Hernandez Middle School for the Advancement of Science,Network 8,997,0,0,0,0,0,0,0,0,306,338,353,0,0,0,0
609983,James Hedges Elementary School,Network 8,665,25,40,61,64,59,75,73,83,62,59,64,0,0,0,0
610174,James Shields Elementary School,Network 8,838,32,76,115,123,139,179,174,0,0,0,0,0,0,0,0
610559,James Shields Middle School,Network 8,604,0,0,0,0,0,0,0,136,127,159,182,0,0,0,0
609964,John H Hamline Elementary School,Network 8,537,14,27,61,55,51,57,60,50,69,49,44,0,0,0,0
609694,John Hancock College Preparatory High School,Network 8,971,0,0,0,0,0,0,0,0,0,0,0,296,238,210,227
609756,Marie Sklodowska Curie Metropolitan High School,Network 8,2916,0,0,0,0,0,0,0,0,0,0,0,758,708,691,759
609876,Nathan S Davis Elementary School,Network 8,740,33,63,71,62,62,87,75,84,74,63,66,0,0,0,0
609952,Nathanael Greene Elementary School,Network 8,498,6,27,59,57,80,78,99,92,0,0,0,0,0,0,0
610239,Richard J Daley Elementary Academy,Network 8,595,7,27,43,57,57,61,67,74,71,64,67,0,0,0,0
610157,Sidney Sawyer Elementary School,Network 8,1545,0,0,123,135,135,191,188,203,182,207,181,0,0,0,0
610226,Socorro Sandoval Elementary School,Network 8,969,12,20,123,123,147,169,179,196,0,0,0,0,0,0,0
609715,Thomas Kelly High School,Network 8,1891,0,0,0,0,0,0,0,0,0,0,0,465,539,516,371
609855,Walter S Christopher Elementary School,Network 8,380,0,0,25,30,41,45,45,50,48,48,48,0,0,0,0
610167,William H Seward Communication Arts Academy ES,Network 8,685,14,24,69,67,70,70,82,78,74,65,72,0,0,0,0
610175,Beulah Shoesmith Elementary School,Network 9,363,0,0,52,43,56,57,48,57,50,0,0,0,0,0,0
609969,Bret Harte Elementary School,Network 9,319,8,26,33,20,29,32,32,31,43,26,39,0,0,0,0
